comp_id,event,name,sex,division,bw,dots,team,s,b,d,total
IPLCN_011,Full Power,曾瑶,F,Open,48.0,303.26,,95.0,30.0,110.0,235.0
IPLCN_011,Full Power,田非,M,Open,85.7,295.17,,155.0,90.0,200.0,445.0
IPLCN_011,Full Power,胡丽萍,F,M45-49,64.4,262.68,,82.5,45.0,120.0,247.5
IPLCN_011,Full Power,历小钰,F,Open,99.35,256.66,,105.0,65.0,130.0,300.0
IPLCN_011,Full Power,陶凯,M,M40-44,65.75,247.51,,112.5,65.0,137.5,315.0
IPLCN_011,Full Power,方刚,M,M50-54,66.35,202.92,,95.0,55.0,110.0,260.0
IPLCN_011,Full Power,叶欣茹,F,J15-19,71.45,202.46,,55.0,62.5,85.0,202.5
IPLCN_011,Bench Only,张浩,M,Open,103.05,121.55,,,200.0,,200.0
IPLCN_011,Bench Only,党朝磊,M,Open,88.7,120.51,,,185.0,,185.0
IPLCN_011,Bench Only,徐文志,M,Open,67.1,104.5,,,135.0,,135.0
IPLCN_011,Bench Only,廖青峰,M,Open,72.55,98.97,,,135.0,,135.0
IPLCN_011,Bench Only,陈子健,M,J20-23,61.85,94.71,,,115.0,,115.0
IPLCN_011,Bench Only,程淮文,M,Open,76.75,91.92,,,130.0,,130.0
IPLCN_011,Bench Only,夏艺玮,F,J15-19,81.1,88.91,,,95.0,,95.0
IPLCN_011,Bench Only,邹宇,M,J20-23,73.25,87.42,,,120.0,,120.0
IPLCN_011,Bench Only,李飞扬,M,J20-23,76.2,71.03,,,100.0,,100.0
IPLCN_011,Bench Only,谢卓琳,F,J20-23,76.45,69.91,,,72.5,,72.5
IPLCN_011,Bench Only,王志刚,M,M50-54,69.0,68.29,,,90.0,,90.0
IPLCN_011,Bench Only,袁帅,M,J15-19,69.8,63.98,,,85.0,,85.0
IPLCN_011,Bench Only,历小钰,F,Open,99.35,59.89,,,70.0,,70.0
IPLCN_011,Bench Only,朱明,F,M45-49,59.15,53.13,,,47.5,,47.5
IPLCN_011,Deadlift Only,朱佳俊,M,J20-23,73.7,174.14,,,,,240.0
IPLCN_011,Deadlift Only,杨柯,F,Open,44.5,167.27,,,,,122.5
