comp_id,event,name,sex,division,bw,gpa,weight_class,dots,s,b,d,total
CPA_035,Full Power,高从芳,F,Unknown,60.1,,63,346.06,120.0,52.5,140.0,312.5
CPA_035,Full Power,华磊,M,Unknown,100.1,,105,341.46,217.5,115.0,222.5,555.0
CPA_035,Full Power,许立,M,Unknown,75.15,,83,331.38,172.5,107.5,182.5,462.5
CPA_035,Full Power,欧阳,M,Unknown,70.85,,74,309.15,150.0,90.0,175.0,415.0
CPA_035,Full Power,陈志伟,M,Unknown,119.9,,120,195.32,150.0,0.0,190.0,340.0
CPA_035,Full Power,曹舜杰,M,Unknown,100.5,,105,187.33,,,305.0,
CPA_035,Full Power,吕笑,F,Unknown,50.35,,52,168.32,,,135.0,
CPA_035,Full Power,王伟,M,Unknown,82.35,,83,162.74,,,240.0,
CPA_035,Full Power,施良平,M,Unknown,98.0,,105,155.25,,,250.0,
CPA_035,Full Power,范华,M,Unknown,64.9,,66,150.75,0.0,110.0,80.0,190.0
CPA_035,Full Power,黄天佑,M,Unknown,88.9,,93,125.25,,192.5,,
CPA_035,Full Power,戴仪全,M,Unknown,92.0,,93,121.52,,190.0,,
CPA_035,Full Power,乐竞雄,M,Unknown,73.55,,74,116.25,,160.0,,
CPA_035,Full Power,姚洪涛,M,Unknown,92.8,,93,108.27,,170.0,,
CPA_035,Full Power,王洪宇,M,Unknown,81.3,,83,105.88,,155.0,,
CPA_035,Full Power,郑迪,M,Unknown,96.25,,105,97.04,,155.0,,
CPA_035,Full Power,李亚猛,M,Unknown,77.55,,83,91.33,,130.0,,
CPA_035,Full Power,鲍斌,M,Unknown,77.65,,83,91.26,,130.0,,
CPA_035,Full Power,王佳奇,M,Unknown,82.0,,83,90.07,,132.5,,
CPA_035,Full Power,殷健,M,Unknown,64.2,,66,66.0,,82.5,,
CPA_034,Full Power,满军,M,Unknown,77.3,,83,485.73,260.0,180.0,250.0,690.0
CPA_034,Full Power,王昱升,M,Unknown,73.8,,74,458.52,240.0,142.5,250.0,632.5
CPA_034,Full Power,张光宇,M,Unknown,79.2,,83,452.62,235.0,172.5,245.0,652.5
CPA_034,Full Power,季缪贝,M,Unknown,88.6,,93,449.73,260.0,170.0,260.0,690.0
CPA_034,Full Power,林东星,M,Unknown,102.5,,105,446.16,280.0,172.5,280.0,732.5
CPA_034,Full Power,莫根源,M,Unknown,146.4,,120+,430.33,315.0,180.0,300.0,795.0
CPA_034,Full Power,汪远,M,Unknown,58.7,,59,425.47,177.5,112.5,205.0,495.0
CPA_034,Full Power,张顺,M,Unknown,81.8,,83,425.43,235.0,142.5,247.5,625.0
CPA_034,Full Power,陈佳俊,M,Unknown,102.3,,105,416.04,245.0,182.5,255.0,682.5
CPA_034,Full Power,宋永昊,M,Unknown,72.8,,74,413.27,210.0,145.0,210.0,565.0
CPA_034,Full Power,廖青峰,M,Unknown,73.2,,74,411.78,215.0,135.0,215.0,565.0
CPA_034,Full Power,崔彬,M,Unknown,89.35,,93,410.48,255.0,150.0,227.5,632.5
CPA_034,Full Power,张达,M,Unknown,101.4,,105,408.42,245.0,157.5,265.0,667.5
CPA_034,Full Power,李爱平,M,Unknown,60.45,,66,398.48,160.0,115.0,200.0,475.0
CPA_034,Full Power,周智翰,M,Unknown,91.15,,93,395.15,235.0,155.0,225.0,615.0
CPA_034,Full Power,曾雪琳,F,Unknown,49.65,,52,393.53,110.0,60.0,142.5,312.5
CPA_034,Full Power,王殿宁,M,Unknown,110.9,,120,389.71,250.0,145.0,265.0,660.0
CPA_034,Full Power,唐宇航,M,Unknown,81.8,,83,387.99,225.0,125.0,220.0,570.0
CPA_034,Full Power,王洪宇,M,Unknown,80.6,,83,381.02,200.0,150.0,205.0,555.0
CPA_034,Full Power,陶涛,M,Unknown,91.4,,93,378.57,235.0,135.0,220.0,590.0
CPA_034,Full Power,刘子涵,M,Unknown,58.65,,59,378.46,170.0,80.0,190.0,440.0
CPA_034,Full Power,涂睿,M,Unknown,112.9,,120,369.56,240.0,130.0,260.0,630.0
CPA_034,Full Power,谢志强,M,Unknown,118.7,,120,368.9,235.0,165.0,240.0,640.0
